state,statefip,county,countyfip,tract,18under1990,18under2000,18under2010,18under2020,18over1990,18over2000,18over2010,18over2020,housing1990,housing2000,housing2010,housing2020,poptract1990,poptract2000,poptract2010,poptract2020,hl1990,hl2000,hl2010,hl2020,white1990,white2000,white2010,white2020,black1990,black2000,black2010,black2020,aian1990,aian2000,aian2010,aian2020,asian1990,asian2000,asian2010,asian2020,nhpi1990,nhpi2000,nhpi2010,nhpi2020,gqi1990,gqi2000,gqi2010,gqi2020,gqni1990,gqni2000,gqni2010,gqni2020
California,6,Mono County,51,101,704,722,694,658,1898,2312,2769,2796,1917,2157,2487,2493,2602,3034,3463,3454,182,334,451,476,2453,2689,2998,2757,0,0,5,8,90,87,107,77,30,17,46,39,4,1,5,16,0,0,0,0,8,0,6,46
California,6,Monterey County,53,101,534,549,592,680,1373.98,1341.99,1487,1775,559,533,602,681,1907.98,1890.99,2079,2455,650.99,847,1314,1741,1430.98,1091.99,1080,847,28,18,32,23,38,26,23,104,153,107,102,164,18,15,3,6,24,0,0,0,0,0,8,7
California,6,Santa Barbara County,83,101,540,882,1121,1024,4391,4156,5374,4898,2114,2216,2479,2422,4931,5038,6495,5922,812,1028,2221,2114,4321,4224,4731,3364,129,64,207,95,76,35,71,74,154,193,300,355,8,5,11,36,978,52,1087,299,93,312,23,122
California,6,Stanislaus County,99,101,1137.96,1079.97,1101,1214.64,3134.89,3282.92,3827,4428.37,1564.95,1636.95,1924,2168.66,4272.85,4362.89,4928,5643.01,338.99,466.99,795,1169.7,4053.86,3945.9,4285,4225.95,16,18,22,34,36,50,44,57.05,37,21,49,82,2,1,11,1,0,0,0,0,16,0,7,0
California,6,Trinity County,105,101,674.58,695.79,482,444,2199.63,2300.94,2385,2242,1663.47,1786.51,1888,1753,2874.21,2996.74,2867,2686,112.94,110.51,192,144,2711.2,2714.52,2576,2177,38,6.06,13,9,60.02,91.26,93,64,14,12.71,24,47,2,4.06,10,8,110,0,0,0,37,0,44,9
California,6,Amador County,5,102,347,407,289,245,1338,1598,1578,1647,1218.05,1468,1584,1651,1685,2005,1867,1892,69,133,149,201,1652,1912,1726,1569,1,2,1,7,24,21,35,42,5,7,20,24,0,1,1,2,0,0,0,0,17,0,0,0
California,6,Butte County,7,102,844.6,950,845,903.69,2528.45,2781,3055,3289.02,1404.77,1558,1680,1817.04,3373.05,3731,3900,4192.71,131.31,297,476,576.81,3210.72,3326,3316,3198.1,41.65,47,51,35,31.62,50,45,55.94,49.6,59,112,169.96,9,2,7,17,7.48,0,5,0,5,26,11,32
California,6,Del Norte County,15,102,892,996,936,882,1996,2492,2833,2882.29,1166,1434,1605,1550.64,2888,3488,3769,3764.29,186,305,444,528,2587,2864,2926,2569,21,24,7,28,195,275,391,464.72,36,69,123,78,4,1,1,7,0,10,10,42,48,46,21,27
California,6,Kern County,29,102,744,794,782,956,2259,2181,2273,2466,1227,1253,1272,1305,3003,2975,3055,3422,106,177,356,857,2915,2777,2738,2491,0,10,1,55,51,55,58,72,7,10,11,9,2,0,5,6,0,0,0,0,0,5,0,16
California,6,Madera County,39,102,871,960,766,769,2902,3318,3397,3312,2214,3035,3149,2739,3773,4278,4163,4081,198,358,424,475,3400,3435,3362,3028,5,13,32,16,263,331,417,407,50,23,34,37,8,17,4,9,0,0,0,0,84,3,3,0
