state,statefip,county,countyfip,tract,18under1990,18under2000,18under2010,18under2020,18over1990,18over2000,18over2010,18over2020,housing1990,housing2000,housing2010,housing2020,poptract1990,poptract2000,poptract2010,poptract2020,hl1990,hl2000,hl2010,hl2020,white1990,white2000,white2010,white2020,black1990,black2000,black2010,black2020,aian1990,aian2000,aian2010,aian2020,asian1990,asian2000,asian2010,asian2020,nhpi1990,nhpi2000,nhpi2010,nhpi2020,gqi1990,gqi2000,gqi2010,gqi2020,gqni1990,gqni2000,gqni2010,gqni2020
California,6,San Francisco County,75,13200,394,530,578,638,3926,3906,3584,3826,2615,2642,2590,2562,4320,4436,4162,4464,150,135,159,299,3917,3868,3493,3399,30,49,47,54,6,8,2,3,319,411,445,534,4,1,4,12,0,0,0,0,28,21,28,18
California,6,San Diego County,73,13203,1528,1879,1913,1569,3862,4097,4551,4902,2129,2175,2195,2203,5390,5976,6464,6471,2500,4114,5145,5513,3027,2957,3561,1367,436,266,237,146,35,62,46,107,448,448,456,291,30,26,32,21,0,0,16,5,0,7,11,1
California,6,San Diego County,73,13204,986,1275,1119,994,2285,2631,2895,3120,1092,1134,1152,1152,3271,3906,4014,4114,2268,3081,3489,3631,1957,1784,2094,674,112,109,73,55,17,45,26,81,125,171,156,140,17,11,4,5,0,0,0,0,0,1,0,0
California,6,San Diego County,73,13205,452,704,769,680,1139,1324,1612,1793,589,598,667,693,1591,2028,2381,2473,1029,1650,2041,2075,859,1033,1382,452,74,40,85,106,8,36,24,33,97,60,73,92,9,0,8,0,0,0,0,0,34,4,1,26
California,6,San Diego County,73,13206,1326,1446,1691,1496,4239,4267,4853,5413,2304,2272,2492,2501,5565,5713,6544,6909,2661,3668,5148,5797,3713,3536,3797,1387,339,187,180,168,52,33,49,97,338,265,270,268,12,21,16,9,0,0,6,38,0,0,5,10
California,6,Monterey County,53,13300,1035,1153,1079,952.58,4822,4866,4614,4981.14,2907,2936,2911,2934.81,5857,6019,5693,5933.73,653,1262,1691,1942.13,4689,4272,3772,3168.72,340,242,183,211.94,56,32,41,111.06,533,505,509,479.01,35,32,22,71.99,0,0,0,0,3,12,14,19
California,6,San Francisco County,75,13300,611,664,752,870,3437,3481,3480,3474,2025,2097,2090,2129,4048,4145,4232,4344,160,109,194,288,3498,3619,3571,3269,109,47,55,55,9,6,9,6,381,329,439,547,5,11,2,1,13,0,67,6,0,5,188,19
California,6,San Diego County,73,13301,1122,1264,1231,1171,3527,3505,3949,4100,1547,1531,1565,1556,4649,4769,5180,5271,1366,2173,3246,3665,3856,3239,3154,1651,47,121,139,126,48,38,32,95,195,186,168,283,24,35,59,34,0,0,0,0,0,1,16,0
California,6,San Diego County,73,13302,1282,1346,1228,1127,3303,3405,3705,3946,1322,1352,1356,1379,4585,4751,4933,5073,2062,2720,3395,3643,2809,2604,2840,1538,67,106,96,113,48,32,65,86,293,255,282,306,53,40,40,16,0,0,5,5,0,2,12,10
California,6,San Diego County,73,13303,1519,1470,1208,1072,3421,3423,3701,4058,1491,1484,1498,1507,4940,4893,4909,5130,2427,3120,3694,4025,3132,2388,2843,1243,180,250,130,114,45,43,66,90,346,248,233,302,52,37,45,47,0,0,0,0,0,0,6,0
California,6,San Diego County,73,13306,1394.74,1459,1313,1061,3138.11,3053,3460,3554,1318.86,1281,1339,1298,4532.85,4512,4773,4615,1875.49,2635,3278,3303,3037.11,2248,2727,1252,198.11,232,201,175,35,68,47,73,434.99,325,367,474,44.41,40,43,22,0,0,0,4,0,75,18,17
California,6,San Diego County,73,13307,988.26,1142,1035,987,2555.89,2770,2931,3287,1019.14,1070,1089,1115,3544.15,3912,3966,4274,1637.51,2343,2829,3208,1874.89,1816,1997,958,161.89,193,191,147,16,27,30,57,544.01,399,375,405,29.59,22,26,18,0,0,0,0,0,4,35,17
California,6,San Diego County,73,13308,1175,1357,1107,1027,2138,2447,2624,2935,958,991,1000,1095,3313,3804,3731,3962,1855,2882,3061,3316,1748,1597,1842,810,210,190,162,126,13,26,29,107,175,113,124,139,42,19,23,6,0,0,0,0,0,13,22,3
California,6,San Diego County,73,13309,1847.31,1851,1861,1491.69,4493.87,4620,5144,5520.95,1913.66,1923,2013,2001.41,6341.18,6471,7005,7012.64,2176.65,2750,3966,4213.44,3990.71,3571,3903,1850.91,274.52,334,224,206.09,25.91,44,40,75.62,917.23,1030,1003,1211.29,65.96,60,38,49,67.43,0,6,0,0,0,34,21
California,6,San Diego County,73,13310,43.58,726.48,9169,7790.12,88.05,1600.44,19791,21795.58,32.7,1008.13,8725,8757.15,131.64,2326.92,28960,29585.7,47.09,696.64,12860,13515.5,87.8,1092.07,12514,6797.16,6.33,174.1,1778,2026.9,0.34,5.24,135,223.38,19.2,638.11,8424,8455.52,0.89,12.06,191,155.75,30.41,85,354,92,0,0,121,335
California,6,San Diego County,73,13311,0.75,2600.34,2810,2563.19,8.77,5158.98,6653,7549.47,1.8,2350.16,2943,3088.43,9.52,7759.32,9463,10112.66,8.94,2178.22,4177,4731.06,2.33,3838.6,5085,2985.93,0,425.48,580,546.02,6.77,22.79,54,62,0,2280.7,2162,2340.19,0,33.47,25,45.25,0,0,0,0,0,0,0,0
California,6,San Diego County,73,13312,891.42,877,863,687,1962.38,1828,1990,2111,823.12,814,817,816,2853.8,2705,2853,2798,1148.17,1527,1992,2097,1902.88,1514,1627,664,127.25,128,89,68,15.25,14,29,41,280.64,158,161,168,47.59,37,19,27,42.67,0,0,0,0,0,3,0
California,6,San Diego County,73,13313,241.76,350.02,2968,7300,629.34,776.74,6496,16735,249.5,293.79,2984,6955,871.1,1126.76,9464,24035,300.54,506.16,3810,9296,499.74,514.73,3759,4589,49.9,69.91,602,2316,3.6,0.87,25,176,160.93,281.76,3231,8094,7.57,17.97,71,147,30.49,0,0,0,0,0,0,0
California,6,San Diego County,73,13314,1.17,71.16,5012,6547,9.59,131.84,9825,15779,3.21,82.93,4417,7003,10.76,203,14837,22326,6.63,69.98,6661,10442,10.54,100.6,7093,5439,0,19.51,864,1909,0.13,0.09,102,199,0,44.43,3767,5088,0,2.5,66,117,0,0,0,0,0,0,0,0
California,6,Monterey County,53,13400,298,316,284,215.06,1363,1334,1340,1372.21,733,727,741,738.34,1661,1650,1624,1587.27,108,109,169,242.38,1516,1425,1326,1138.02,17,26,16,29.06,12,14,12,14.94,98,85,128,127.06,1,0,4,6.01,0,0,0,0,0,0,0,0
California,6,San Francisco County,75,13400,270,299,431,514,3363,3366,3168,3362,2209,2226,2180,2167,3633,3665,3599,3876,156,140,182,278,3105,3114,2989,2774,217,103,56,62,6,8,3,1,275,330,368,551,1,9,8,0,52,54,44,24,55,4,0,12
California,6,San Diego County,73,13401,905,926,953,969,3118,3132,3250,3530,1414,1427,1451,1441,4023,4058,4203,4499,1015,1504,2189,2726,3498,2977,3052,1743,40,72,49,67,23,27,25,79,161,197,236,262,16,19,9,27,0,1,0,0,0,7,17,4
California,6,San Diego County,73,13409,1281.76,1410,1180,1151,3879.07,4033,4200,4439,1792.37,1903,1880,1895,5160.83,5443,5380,5590,1524.76,2098,2731,3037,3607.36,3300,3151,1905,166.8,202,240,362,16,19,66,85,708.03,707,679,659,40,48,27,36,0,0,6,0,0,13,37,12
California,6,San Diego County,73,13410,913.57,876.33,1942,2015.94,2497.76,2616.69,5131,6280.29,1083.06,1150.34,2264,2536.42,3411.33,3493.02,7073,8296.23,692.2,1028.21,2900,3679.68,2812.33,2671.74,3967,2829.09,55.73,139.03,307,341.67,17,13,36,98.44,232.31,254.12,1344,1640.81,16.17,11,41,28,0,0,0,0,0,6,7,109
California,6,San Diego County,73,13411,1444.57,1357.63,1026,1061,3772.69,3893.05,3973,4209,1668,1681.75,1714,1740,5217.26,5250.68,4999,5270,1231.99,1571.01,2031,2435,3719.03,3613.87,3370,2254,119.98,112.09,128,143,17.02,21.03,32,51,860.95,828.04,650,709,14.91,20.15,30,20,0,0,0,0,0,0,0,12
California,6,San Diego County,73,13412,863.34,1372,1163,1038,2310.06,3740,3923,4149,1082.3,1709,1850,1760,3173.4,5112,5086,5187,865.25,1949,2488,2697,2278.57,3159,3263,1780,86.01,108,190,178,8,15,9,45,461.02,921,766,800,8.81,13,25,19,99,0,0,63,7,124,8,8
California,6,San Diego County,73,13414,1014.24,2040,1898,1623,2280.93,4617,5329,5752,1022.63,2114,2254,2264,3295.17,6657,7227,7375,912.24,2486,3677,3859,2350.64,3676,3941,2073,75.2,285,275,315,23,23,47,93,490.97,1377,1319,1374,32,49,38,41,0,0,0,0,0,0,4,8
California,6,San Diego County,73,13415,411,458,392,373,1020,1181,1175,1267,491,547,543,548,1431,1639,1567,1640,348,592,779,884,1147,1050,867,521,33,62,70,63,3,10,11,19,160,213,211,261,6,11,4,13,0,0,0,0,0,5,0,0
California,6,San Diego County,73,13416,1206.64,1147.37,910,882,2597.45,2952.95,2870,3048,1210.85,1286.25,1253,1268,3804.1,4100.32,3780,3930,722.9,1259.99,1486,1859,2865.39,2648.13,2339,1637,172.5,175.91,197,214,14.4,20.97,36,69,444.48,546.96,448,430,16.02,15.85,18,14,0,0,0,0,0,0,13,21
California,6,San Diego County,73,13417,506.73,770,499,409,1148.82,1526,1588,1562,590.62,620,624,625,1655.55,2296,2087,1971,489.12,787,917,950,1069.56,1343,1212,706,48.01,100,137,96,2.74,13,14,16,302.44,522,366,358,11.8,7,13,8,0,0,0,0,0,0,0,0
California,6,San Diego County,73,13418,1079.42,1757,1549,1350.88,2692.65,4280,4449,4758.6,1358.86,2106,2114,2141.51,3772.07,6037,5998,6109.48,996.36,2416,3279,3494.58,2636.66,3485,3473,1850.74,94.67,240,239,219.22,9.44,28,32,86.15,591.75,1107,880,948.05,20.11,28,42,48,0,0,0,0,0,0,0,0
California,6,San Diego County,73,13419,254.09,733,2612,2129.12,575.7,1527,5310,5797.4,297.63,780,2401,2373.49,829.79,2260,7922,7926.52,246.43,850,3824,4080.42,535.14,1308,4293,2376.26,24.11,118,402,351.78,1.39,12,40,66.85,152.07,368,1507,1500.95,5.99,7,26,26,0,0,0,0,0,0,0,30
California,6,San Diego County,73,13420,55.46,1152.72,1020,900,174.53,2356.74,2451,2708,180.96,1144.56,1134,1153,229.99,3509.47,3471,3608,61.18,1304.72,1760,1922,154.33,1451.37,1757,867,8.75,222.15,222,249,0.57,9.99,15,57,40.89,1024.32,718,723,0.57,22.06,23,12,0,0,0,0,0,0,0,0
California,6,San Diego County,73,13421,68.2,1557.28,1266,1005,196.41,3272.26,3429,3715,246.74,1439.44,1448,1473,264.6,4829.53,4695,4720,75.57,1690.28,2353,2464,165.1,2265.63,2494,1269,8.24,174.85,195,147,0.43,23.01,32,47,61.09,1557.68,1147,1101,0.62,24.94,34,28,0,0,0,0,0,0,0,0
California,6,Monterey County,53,13500,1382,1342,1098,898,3721,3700,3822,3659,1783,1769,1784,1770,5103,5042,4920,4557,713,1207,1582,1583,2594,2275,2139,1797,1392,953,687,507,38,67,39,75,773,566,551,497,112,94,116,71,0,0,0,0,0,3,0,0
California,6,San Francisco County,75,13500,143,170,226,286,2391,2496,2330,2626,1881,1890,1857,1935,2534,2666,2556,2912,83,110,163,231,2191,2188,2001,1971,57,53,66,69,6,9,5,8,260,305,360,471,6,5,2,2,0,0,0,0,20,15,31,18
California,6,San Diego County,73,13503,1593,1641,1504,1516,4137,4158,4272,4652,2078,2072,2125,2122,5730,5799,5776,6168,898,1174,1776,2239,4753,4085,3485,2710,362,686,726,779,29,47,34,70,157,155,250,359,23,29,69,53,0,0,6,9,48,53,27,43
California,6,San Diego County,73,13504,794,837,876,809,2010,2077,2595,3038,916,1003,1208,1339,2804,2914,3471,3847,346,466,788,1087,2158,1963,2041,1860,170,307,432,472,19,17,24,37,329,282,409,444,5,4,16,41,0,0,0,0,0,0,0,0
California,6,San Diego County,73,13505,1355,1263,1037,1064,3637,3687,3688,3996,1894,1904,1903,1984,4992,4950,4725,5060,599,725,1132,1709,4216,3737,3122,2553,284,443,545,612,28,23,37,58,226,214,202,256,16,36,28,45,0,0,0,0,0,4,0,0
California,6,San Diego County,73,13506,464,581,949,1170,1647,1787,2560,3252,841,849,1052,1237,2111,2368,3509,4422,243,576,1213,1935,1898,1703,2082,1766,56,60,231,378,14,21,27,43,40,96,227,302,11,15,17,24,0,0,0,0,0,0,20,0
California,6,Monterey County,53,13600,1034,1296,1229,1017,2840,3228,3167,3243,1452,1459,1481,1474,3874,4524,4396,4260,1091,2216,2624,2566,2396,2402,2112,1346,503,246,152,84,45,47,58,99,419,340,279,257,61,53,47,62,17,0,0,0,10,54,43,37
California,6,San Diego County,73,13601,1333,1253,1071,1054,3932,4063,3982,4199,1927,1966,1986,1997,5265,5316,5053,5253,550,743,1051,1529,4740,4272,3730,3046,157,312,394,404,25,35,29,41,132,143,191,210,19,30,22,27,0,0,14,14,22,18,58,12
California,6,San Diego County,73,13604,1932,1923,1486,1352,4249,4427,4661,4904,2158,2164,2228,2202,6181,6350,6147,6256,559,751,957,1043,5520,5145,4952,4670,202,287,354,266,13,44,28,22,253,242,270,265,26,19,19,24,10,0,0,0,10,3,26,61
California,6,San Diego County,73,13605,1321.47,1290,1156,1081,3668.71,4165,4466,4723,1740.01,2001,2128,2145,4990.18,5455,5622,5804,405.14,527,796,871,4521.21,4825,4812,4422,90.61,114,154,164,23.64,29,35,57,212.57,128,212,251,12.59,9,15,15,0,0,0,0,0,7,6,6
California,6,San Diego County,73,13606,1489.53,1747,1453,1529,3829.29,4484,4933,5184,2018.99,2428,2832,2824,5318.82,6231,6386,6713,544.86,822,1068,1290,4579.79,4777,4819,4365,211.39,336,407,522,26.36,29,24,48,308.43,449,382,385,14.41,17,15,39,0,0,0,26,0,6,3,18
California,6,Monterey County,53,13700,1235,1764,1607,1425,2822,3567,3524,3465,1388,1400,1435,1435,4057,5331,5131,4890,1495,3528,3809,3858,1539,2002,2003,764,811,402,240,91,24,78,76,184,630,485,349,314,106,61,58,51,0,0,0,0,60,0,64,0
California,6,San Diego County,73,13701,498.1,449.08,476,488,1937.38,1759.42,1876,2100,900.18,888.2,925,988,2435.48,2208.49,2352,2588,177.02,188.04,374,604,2244.45,1945.45,1950,1764,55.01,56.01,85,62,9,16,6,12,72.01,67,101,115,1.01,1,14,18,0,0,0,0,2,0,0,12
California,6,San Diego County,73,13702,1431,1689,1582,1479,3047,3462,3775,4051,1549,1694,1731,1742,4478,5151,5357,5530,693,1301,2150,2660,3546,3141,2762,1845,365,874,751,635,44,59,68,86,249,253,302,392,24,13,54,59,0,0,9,13,12,0,26,24
California,6,Monterey County,53,13800,1651,1763,1388,1149,3986,4126,4160,4219,1693,1684,1678,1688,5637,5889,5548,5368,762,1580,2486,2641,1525,1699,1816,1290,2192,1615,955,591,30,46,56,135,1313,1073,716,683,123,100,124,140,0,0,0,0,0,2,7,0
California,6,San Diego County,73,13801,1142.99,1370,1212,1158,3311.97,3583,3559,4020,1579.99,1740,1738,1793,4454.96,4953,4771,5178,530,1048,1522,1957,3906.96,3432,3017,2520,195,443,472,427,23,30,49,57,106,166,187,312,15,25,72,42,207,173,87,202,0,5,9,8
California,6,San Diego County,73,13802,788,1062,918,945,1491,2031,2039,2366,737,964,937,984,2279,3093,2957,3311,504,1042,1432,1969,1751,1635,1454,980,100,337,399,346,20,36,15,42,73,204,191,196,28,30,29,19,43,49,81,52,27,75,0,35
California,6,Monterey County,53,13900,694,766,649,471,2003,1999,2024,2113,1007,942,945,946,2697,2765,2673,2584,408,833,1058,1132,1672,1467,1492,1050,347,250,152,124,38,27,34,30,341,261,249,224,80,36,71,52,18,0,0,0,12,0,0,0
California,6,San Diego County,73,13903,1157.04,1153.05,931,814,2928.09,2970.1,3185,3113,1090.04,1266.05,1368,1196,4085.12,4123.15,4116,3927,810.03,1151.03,1610,1871,2845.06,2406.04,1953,1262,346.03,469.05,421,292,29,24,37,72,523.03,487.03,534,519,45,19,38,39,416,125,91,16,0,10,60,34
California,6,San Diego County,73,13905,803,926,907,944.96,1941,2184,2769,3138.83,898,980,1189,1242.94,2744,3110,3676,4083.79,498,759,1169,1324.89,1940,1827,1986,1562.93,279,444,595,644.99,19,31,27,47,198,212,316,427.97,27,25,35,41,0,0,0,0,0,0,0,22
California,6,San Diego County,73,13906,1328,1422,1326,1183,3066,3166,3375,3782,1552,1592,1599,1636,4394,4588,4701,4965,752,1126,1951,2396,3256,2515,2040,1673,409,736,741,683,62,38,33,105,223,357,268,309,33,65,127,33,0,0,0,0,0,6,12,10
California,6,San Diego County,73,13907,1182,1440,1459,1201,2304,2465,2726,2958,1268,1263,1326,1340,3486,3905,4185,4159,835,1577,2539,2564,2053,1402,1692,927,720,841,589,615,45,46,29,73,200,304,258,266,44,56,25,29,0,0,0,0,12,14,0,0
California,6,San Diego County,73,13908,1045,1064,1158,1012,2102,2211,2550,2960,991,998,1119,1119,3147,3275,3708,3972,977,1384,2106,2497,2025,1711,1466,903,323,289,432,372,33,38,32,86,169,319,271,355,43,40,47,18,0,0,0,39,3,11,10,48
California,6,San Diego County,73,13909,1243,1425,1287,1112.04,2614,2890,3202,3409.17,1168,1256,1273,1284.06,3857,4315,4489,4521.21,1130,1863,2418,2686.11,2492,2124,1995,1252.07,275,497,453,396.01,36,45,42,60,295,349,368,401.03,63,40,39,16,0,0,0,0,0,0,25,18
California,6,Monterey County,53,14000,488,654,659,538,1680,1902,1978,2034,865,863,943,991,2168,2556,2637,2572,559,1058,1362,1324,1385,1345,1336,896,161,141,99,63,35,38,26,60,210,223,208,224,29,28,33,27,33,28,0,0,8,80,79,46
California,6,San Diego County,73,14001,1203.08,1242,1157,1065,3379.24,3390,3473,3876,1646.12,1577,1607,1593,4582.32,4632,4630,4941,789.08,1200,1828,2263,3834.26,3010,2673,1882,174,397,433,480,27,41,48,61,220,270,315,409,35.01,19,34,54,44,0,11,111,15,145,0,0
California,6,San Diego County,73,14002,1216,1294,1197,1003,3034,2940,3291,3288,1199,1209,1312,1274,4250,4234,4488,4291,723,1260,1789,1987,3277,2381,2163,1512,289,486,587,477,23,39,61,88,331,377,418,470,26,31,35,21,303,8,12,0,0,114,138,5
California,6,San Diego County,73,14101,898.5,916.5,879,895,2485.71,2601.28,2628,2972,1202.69,1194.54,1188,1202,3384.21,3517.78,3507,3867,726.55,1040.94,1630,1983,2671.76,2304.13,2005,1497,164.34,311.35,300,207,41.08,61.11,31,53,102.06,121.59,132,288,33.16,19.47,38,24,0,0,0,0,15,20,25,26
California,6,Monterey County,53,14102,1326.8,731.45,815,1117,2725.64,1320.98,1444,2867,892.32,2056.97,702,1389,4052.44,2052.43,2259,3984,529.44,966.63,640,1295,2244.58,716.5,966,1511,1118.94,268.12,368,388,30.8,9.06,26,40,229.19,146.1,285,625,115.83,23,100,124,0,0,0,0,990.82,812,203,243
California,6,San Diego County,73,14102,1121.42,1252.5,1041,906,2186.05,2521.72,2727,2921,1002.19,1090.46,1106,1109,3307.47,3774.22,3768,3827,772.37,1065.06,1477,1636,1366.98,1144.87,1153,735,1128.66,1338.65,1211,1007,23.92,20.89,25,32,260.94,421.41,418,476,55.83,50.53,50,64,0,0,0,0,0,0,5,11
California,6,Monterey County,53,14104,1773.2,12,3,1294,3640.34,5476,1608,1229,1190.73,0,2,22,5413.54,5488,1611,2523,707.91,1678,327,783,2993.14,1795,950,1274,1498.86,1751,56,61,41.24,43,10,1,306.99,93,397,537,155.21,10,10,0,0,4087,0,0,1328.19,1401,1610,2427
California,6,Monterey County,53,14105,1183.25,626.55,448,727,2328.26,2205.02,2240,2653,1231.28,1173.03,1209,1585,3511.5,2831.57,2688,3380,413.69,525.37,603,1029,2028.28,1548.5,1660,1546,943.07,392.88,258,280,45.09,32.94,32,43,212.73,272.9,247,437,50,69,32,21,0,0,0,0,0.98,0,0,0
California,6,Monterey County,53,14107,4037.67,2044.14,2351,2429,11577.23,3847.14,4737,6375,3157.56,2994.49,2761,3228,15614.9,5891.28,7088,8804,1825.09,586.84,1311,2437,9594.07,4622.37,4689,4417,3747.81,403,470,467,161.66,36.01,51,109,767.24,261.96,703,1015,285.73,38,77,97,0,0.03,0,0,5763.01,0,0,0
California,6,San Diego County,73,14200,1502.81,1655,1644,1440,3995.51,4279.9,4633,5542,1828.16,1942.16,1970,2163,5498.31,5934.9,6277,6982,1128.29,1620.68,2695,3098,4172.7,3600.29,3364,2563,411,677,697,739,61,51.94,48,100,281.94,412.94,423,775,60,73,78,89,147,160,123,407,0,0,15,23
California,6,Monterey County,53,14201,1457.33,1438.79,1286,1061,3628.08,3883.26,3847,4091,1705.4,1779.67,1793,1815,5085.41,5322.05,5133,5152,419.76,1061.95,1662,1855,2516.13,2372.61,2203,1732,666.13,483.93,324,227,39,45.99,32,111,1424.24,1238.6,979,982,209.47,180.98,137,136,0,0,0,0,0,0,5,25
California,6,Monterey County,53,14202,1397.67,1194.21,985,823,3381.92,3053.74,3090,3180,1764.6,1623.33,1657,1683,4779.59,4247.95,4075,4003,587.24,880.05,1182,1449,2330.87,1888.39,1698,1320,704.87,417.07,268,235,25,37.01,37,58,1164.76,985.4,900,827,228.53,146.02,139,93,0,0,0,36,0,1,9,0
California,6,San Diego County,73,14300,865.19,998,965,930,2402.49,2521.1,2653,3027,1246.84,1285.84,1293,1314,3267.69,3519.1,3618,3957,673.71,1117.32,1612,2007,2597.3,2246.71,1878,1378,206,362,441,373,37,38.06,22,45,122.06,165.06,186,372,12,21,46,27,0,0,0,0,10,30,12,2
California,6,Monterey County,53,14301,917,945,770,700,2645,2880,2832,2954,1320,1437,1472,1477,3562,3825,3602,3654,273,672,809,987,2098,2020,1819,1595,516,342,250,217,24,27,23,32,735,717,699,662,68,93,87,66,0,0,0,0,8,6,31,8
California,6,Monterey County,53,14302,863,1038,916,854,2703,3141,3108,3397,1396,1645,1580,1661,3566,4179,4024,4251,320,564,995,1267,2008,2199,1892,1589,512,338,262,269,30,24,22,66,781,904,842,822,90,75,75,88,0,0,0,0,0,0,9,17
California,6,San Diego County,73,14400,1004,1022,899,991,2736,2664,2624,3279,1726,1643,1600,1887,3740,3686,3523,4270,961,1175,1476,2015,2397,1706,1380,1205,686,769,988,1053,36,49,37,47,143,106,122,201,21,41,32,50,0,1,0,0,0,9,10,11
California,6,Monterey County,53,14500,769,925,1117,1263,2988,3011,3293,3700,1460,1498,1669,1714,3757,3936,4410,4963,936,1224,2045,2651,2890,2816,2611,2176,33,20,124,117,26,27,48,95,274,276,261,306,9,6,27,14,278,140,133,142,0,10,39,269
California,6,San Diego County,73,14500,676,813,841,961,2581,2667,2908,3115,1364,1421,1444,1479,3257,3480,3749,4076,519,710,1163,1510,2727,2467,2078,1766,144,274,463,414,17,23,53,44,130,234,316,414,9,25,35,24,91,80,82,51,0,7,16,0
California,6,Monterey County,53,14601,1320.25,1746.67,1552,1461,2803.38,3599.08,3680,3918,1085.16,1296.33,1332,1352,4123.64,5345.75,5232,5379,2501.55,3785.36,4060,4331,2647.23,2671.84,2357,1142,29.02,49.04,58,20,81,63.02,161,175,235.02,137.1,147,119,5,9,39,9,0,0,0,0,0,5,15,30
California,6,San Diego County,73,14601,989,1013,1059,1018,3276,3465,3736,3761,1978,2076,2267,2135,4265,4478,4795,4779,543,847,1266,1593,3660,3240,3041,2397,246,320,563,454,42,46,63,44,124,246,231,298,20,16,24,28,22,0,59,43,58,82,6,6
California,6,San Diego County,73,14602,620,850,1021,1067,2795,3097,3708,3835,1456,1639,1878,1885,3415,3947,4729,4902,322,425,898,1056,3079,3124,3145,2875,98,331,457,421,23,36,29,39,90,161,421,475,15,16,24,32,0,3,0,0,0,0,5,0
California,6,Monterey County,53,14700,1315,1360,1837,1674.64,3850,4052,4783,5314.78,1791,1915,2209,2201.43,5165,5412,6620,6989.42,805,1253,3282,4199.14,4088,3998,4265,2667.17,135,72,75,52,64,55,63,198.96,425,307,297,289.98,45,15,13,21,0,0,0,0,58,78,0,0
California,6,San Diego County,73,14700,1314.69,1559.46,1542,1695.95,5772.58,5791.29,6063,6483.38,3162.37,3185.94,3272,3292.38,7087.27,7350.75,7605,8179.33,817.04,1155.42,1547,2158.59,6343.22,5930.75,5574,4822.95,148,306.02,470,406.38,42,51.01,59,105,249.02,335.98,485,591.29,16,49,40,58.25,0,0,0,0,0,0,9,12
California,6,Monterey County,53,14800,1035.95,1998,2168,1991,1573.89,3276.01,3944,4293,636.42,1194,1469,1488,2609.84,5274.01,6112,6284,1974.68,4201.01,5192,5586,771.16,1684,2501,1121,45,56,41,29,6,44,56,279,115,159,116,102,0,12,6,6,0,0,0,0,0,0,0,0
California,6,San Diego County,73,14803,473,676,695,799,4210,4056,3995,4249,2326,2543,2542,2376,4683,4732,4690,5048,286,488,766,1173,4311,3870,3506,3174,122,183,300,321,14,15,22,53,156,229,332,315,11,15,22,42,344,43,33,301,0,22,26,16
California,6,San Diego County,73,14804,558.05,693.48,638,768.1,3787.91,3714.14,3713,3820.61,2061.97,2103.94,2219,2049.23,4345.96,4407.62,4351,4588.71,294.79,399.33,597,930.17,4018.96,3810.2,3539,3041.47,100.52,152.12,218,233.06,22.66,27.89,30,44,130.13,142.22,175,257.01,8.98,4.81,10,22,242,276,96,240,3,0,6,4
California,6,San Diego County,73,14805,547.48,675.64,708,779,3787.03,3671.46,3620,4325.02,2108.45,2099.8,2110,2422.01,4334.51,4347.1,4328,5104.02,360.87,538,850,1172,3871.95,3547.34,3124,3148.02,157,193,372,386,12.94,27,20,32,170.94,220.88,278,403,18,14,23,25,158,180,116,86,0,0,6,0
California,6,San Diego County,73,14806,354.65,411.1,471,481,2191.68,2081.38,2106,2196,1451.25,1489.79,1412,1316,2546.33,2492.49,2577,2677,306.61,457.13,674,887,2185.43,1792.78,1500,1261,157.1,178.76,377,336,25.67,27.67,30,40,64.2,120.43,157,200,12.1,6,20,21,0,0,0,0,0,3,2,13
California,6,San Diego County,73,14901,825,872,853,945,3162,3369,3390,3797,1793,1900,1916,2024,3987,4241,4243,4742,359,537,772,1143,3585,3475,3016,2895,160,261,387,365,29,26,33,32,78,93,150,218,3,14,56,23,0,0,6,0,0,0,2,15
California,6,San Diego County,73,14902,534,593,632,577,2612,2663,2554,2763,1491,1506,1496,1484,3146,3256,3186,3340,373,468,705,831,2920,2753,2577,2177,44,105,123,152,11,17,19,52,46,66,109,135,10,9,12,8,208,156,122,161,0,89,10,6
California,6,San Diego County,73,15000,1147.57,1286.22,1288,1325.51,4330.7,4251.46,4905,5459.88,2300.55,2258.63,2855,2835.02,5478.27,5537.68,6193,6785.38,543.31,743.8,1339,1746.23,4956.6,4427.68,4492,4137.21,148,263,425,440.09,21.97,42,35,65.41,163.91,248,363,461.5,14,26,30,33.29,115,82,19,49,2.91,5,13,102
California,6,San Diego County,73,15100,861.7,973,1037,965.35,3725.22,3605.19,3732,4061.55,1988,1992.6,2041,2055.96,4586.92,4578.19,4769,5026.89,335.81,461.38,827,1097.89,4379.27,3966.77,3804,3323.9,41.94,74,198,247.1,13,17,16,47.94,65.77,115.54,207,254.9,8.88,16.95,18,27.02,0,0,0,1,0,12,12,17
California,6,San Francisco County,75,15100,68,80,51,137,1726,2340,2442,2967,1220,1784,1904,2256,1794,2420,2493,3104,131,129,150,255,1220,1703,1615,1666,116,59,69,81,13,3,7,7,400,540,655,992,1,2,5,0,136,29,33,37,65,41,105,16
California,6,San Diego County,73,15200,721.02,806.06,760,690,3063.17,2963.07,3119,3268,1447.08,1492.06,1526,1528,3784.19,3769.13,3879,3958,208,246.99,449,678,3618.21,3425.14,3437,2978,42.99,63.99,86,84,8,12,26,29,46.99,60,99,153,13.99,18,8,3,0,0,0,0,0,6,15,0
